COVID-19 Awareness & Precautions (Open Positions - 1000)," INDIA Redefined ",Work From Home ,Unpaid 
Student Brand Ambassador (Open positions - 5000)," eArth Samvarta Foundation ",Work From Home ,Performance Based 
Campus Ambassador," E-Cell IIT Bombay ",Work From Home ,Performance Based 
Student Ambassador Program (Open Positions - 200)," FreeUp App ",Work From Home ,Performance Based 
Product Assistant," Hungama Digital Media Entertainment Private Limited ",Work From Home ," 5000"
Graphic Design," BoAT (Imagine Marketing Private Limited) ",Work From Home ," 10000"
Economic & Public Policy Research," Federation of India Chambers of Commerce and Industries ",Work From Home ,Unpaid 
Law/ Legal," Xiaomi Technology India Private Limited ",Work From Home ," 7000-12000"
Campaigner & Social Media Champion For Child Rights," CRY- Child Rights And You ",Work From Home ,Unpaid 
Data Labelling And Digitization," Text On OCR Application IIT Bombay ",Work From Home ," 5000-8000"
Marketing," IIFL Securities Limited ",Work From Home ," 8000"
Customer Service," BoAT (Imagine Marketing Private Limited) ",Work From Home ," 10000"
Operations," BoAT (Imagine Marketing Private Limited) ",Work From Home ," 10000"
Web Development," IIT Bombay ",Work From Home ," 2000-5000"
UI/UX Design," IIT Bombay ",Work From Home ," 1000-4000"
Deep Learning," IIT Bombay ",Work From Home ," 2000-4000"
Business Development (Sales)," Tribhovandas Bhimji Zaveri Entertainment Private Limited ",Work From Home ," 7000"
Campus Ambassador," Dr. A.P.J. Abdul Kalam Centre ",Work From Home ,Performance Based 
Marketing Content," Nearbuy ",Work From Home ," 10000"
Social Media Marketing," Nearbuy ",Work From Home ," 10000"
Operations," Nearbuy ",Work From Home ," 12000"
Research," Nearbuy ",Work From Home ," 12000"
Business Development (Sales)," Career Launcher ",Work From Home ," 5000"
COVID-19 Awareness & Precautions (Open Positions - 1000)," INDIA Redefined ",Work From Home ,Unpaid 
Student Brand Ambassador (Open positions - 5000)," eArth Samvarta Foundation ",Work From Home ,Performance Based 
Campus Ambassador," E-Cell IIT Bombay ",Work From Home ,Performance Based 
Student Ambassador Program (Open Positions - 200)," FreeUp App ",Work From Home ,Performance Based 
Product Assistant," Hungama Digital Media Entertainment Private Limited ",Work From Home ," 5000"
Graphic Design," BoAT (Imagine Marketing Private Limited) ",Work From Home ," 10000"
Economic & Public Policy," Research Federation of India Chambers of Commerce and Industries ",Work From Home ,Unpaid 
Law/ Legal," Xiaomi Technology India Private Limited ",Work From Home ," 7000-12000"
Campaigner & Social Media Champion For Child Rights," CRY- Child Rights And You ",Work From Home ,Unpaid 
Data Labelling And Digitization," Of Text On OCR Application IIT Bombay ",Work From Home ," 5000-8000"
Marketing," IIFL Securities Limited ",Work From Home ," 8000"
Customer Service," BoAT (Imagine Marketing Private Limited) ",Work From Home ," 10000"
Operations," BoAT (Imagine Marketing Private Limited) ",Work From Home ," 10000"
Web Development," IIT Bombay ",Work From Home ," 2000-5000"
UI/UX Design," IIT Bombay ",Work From Home ," 1000-4000"
Deep Learning," IIT Bombay ",Work From Home ," 2000-4000"
