COVID-19 Awareness & Precautions  ,0 
Student Brand Ambassador  ,0 
Campus Ambassador ,0 
Student Ambassador Program  ,0 
Product Assistant , 5000
Graphic Design , 10000
Economic & Public Policy Research ,0 
Law/ Legal , 7000
Campaigner & Social Media Champion For Child Rights ,0 
Data Labelling And Digitization , 5000
Marketing , 8000
Customer Service , 10000
Operations , 10000
Web Development , 2000
UI/UX Design , 1000
Deep Learning , 2000
Business Development  , 7000
Campus Ambassador ,0 
Marketing Content , 10000
Social Media Marketing , 10000
Operations , 12000
Research , 12000
Business Development  , 5000
COVID-19 Awareness & Precautions  ,0 
Student Brand Ambassador  ,0 
Campus Ambassador ,0 
Student Ambassador Program  ,0 
Product Assistant , 5000
Graphic Design , 10000
Economic & Public Policy ,0 
Law/ Legal , 7000
Campaigner & Social Media Champion For Child Rights ,0 
Data Labelling And Digitization , 5000
Marketing , 8000
Customer Service , 10000
Operations , 10000
Web Development , 2000
UI/UX Design , 1000
Deep Learning , 2000
Business Development  , 7000
Campus Ambassador ,0 
Marketing Content , 10000
Social Media Marketing , 10000
Operations , 12000
Research , 12000
Business Development  , 5000
Mobile App Development , 5000
Content Writing , 10000
Business Development  , 3500
Content Writing , 3000
UI/UX Design , 15000
Business Development  , 8000
Business Development  , 8000
Business Development  , 2000
Video Editing , 7000
Business Development  , 10000
Business Development  , 10000
Business Development  , 5000
Human Resources  , 1000
Networking & System Administration , 5000
Software Testing/Quality Assurance , 5000
Graphic Design , 5000
Stock Market Research , 2000
Content Writing , 2000
Content Writing , 2000
Video Making/Editing , 3000
Graphic Design , 1000
Data Science  , 1000
Product Management And Research , 1000
Marketing , 3000
Business Development  , 5000
Marketing , 1500
Business Development  , 10000  
Business Development  , 1000
Human Resources  , 2500
Graphic Design , 8000
Fundraising ,0 
Web Development , 8000
Digital Marketing , 10000
Facebook Marketing ,0 
Digital Marketing ,0 
Graphic Design ,0 
Social Media Marketing , 5000
Graphic Design , 5000
Operations , 1000
Business Development  , 1000
Content Writing , 1500
Business Development  , 5000
Business Development  , 1000
Video Making/Editing , 5000
Web Development , 15000
Marketing , 1000
Search Engine Optimization  , 1500
Content Writing , 2000
Social Media Marketing , 1500
Business Development  , 2000
Technical , 1000
Graphic Design , 5000
Social Media Marketing , 2000
Business Development  , 9000
Content Writing , 1000
Business Development  , 1000
Content Writing , 3000
Content Writing , 8000
Graphic Design , 3000
Web Development , 2500
Content Writing , 400 /week 
Web Development , 3000
Graphic Design ,0 
Web Development , 10000
Content Writing , 5000
Content Writing ,0 
Content Writing , 1000
Campus Ambassador ,0 
Business Development  , 2000
News Editing , 7000
Graphic Design , 2500
