Product Assistant ,2,10000
Graphic Design ,780,2919500
Law/ Legal ,38,119500
Data Labelling And Digitization ,2,10000
Marketing ,291,1118998
Customer Service ,19,125500
Operations ,145,811600
Web Development ,747,3963600
UI/UX Design ,56,317000
Deep Learning ,3,21000
Business Development  ,867,3796700
Marketing Content ,2,20000
Social Media Marketing ,633,2085403
Mobile App Development ,315,1770000
Content Writing ,974,3301240
Video Editing ,23,114500
Human Resources  ,160,545700
Networking & System Administration ,1,5000
Software Testing/Quality Assurance ,1,5000
Stock Market Research ,1,2000
Video Making/Editing ,119,391200
Data Science  ,2,2000
Product Management And Research ,1,1000
Fundraising ,29,3500
Digital Marketing ,513,2157400
Facebook Marketing ,5,23000
Search Engine Optimization  ,64,206500
Technical ,1,1000
News Editing ,1,7000
Data Entry Cum Social Media Marketing ,1,1000
Acting ,3,9500
Game Design  ,1,1000
Internet Of Things  ,6,34000
Software Development ,26,176500
Curriculum Development ,5,14000
Accounting ,1,8000
Video Making/Editing  ,4,8000
Android App Development ,22,136500
YouTube Video Creation ,1,1000
Technical Product Management ,1,30000
Talent Acquisition ,1,1000
Robotics Process Automation  ,1,1000
Executive Assistance ,1,1000
Content Creation  ,2,3500
Wellness Teaching ,1,10000
PHP Development  ,3,11700
Backend Development ,17,67500
iOS App Development ,15,112500
Full Stack Development ,32,220500
Data Science and Scoring ,1,4000
SEO ,1,2000
Backlink ,1,1000
Civil Engineering ,6,16500
Volunteering ,6,3000
Biotechnology And Microbiology ,1,2000
Telecalling ,41,159500
Business Analytics ,7,33500
Business Development- Social Media Live Project ,1,1000
Unity 3D Development ,2,11000
Instagram Content Creation ,1,1000
Software Development  ,1,2500
Content Development  ,30,226500
Animation 2D/3D ,1,2000
Lead Generation ,14,41000
Embedded Systems ,1,5000
MERN Stack Development ,1,10000
Teaching  ,41,227000
Online Data Entry ,1,2000
Investment Analytics ,1,10000
Media & Public Relations  ,23,76000
JavaScript Development ,3,21000
WordPress Development ,20,61500
UI/UX Design - Shopify ,1,4500
AI  ,1,2500
Flutter App Development ,3,16000
Project Management ,11,65000
Flutter Development ,9,76500
Email Marketing ,8,31500
IT Business Analysis ,1,5000
Web Scraping ,1,2000
Journalism & Magazine Editing ,1,3000
Angular.js Development ,3,12000
Personal Assistant ,2,6000
Accounts & Finance ,1,5000
Customer Engagement ,1,5000
Annotation Labeling ,1,8000
Operations Manager ,1,7000
Direct Marketing ,1,1000
Legal Research ,2,1000
Voice Over ,3,3000
Subject Matter Expert  ,9,93500
Statistics ,2,9000
Software Testing ,17,86500
Telecalling & Inside Sales ,1,4000
Program Management ,4,20000
Django Development ,3,1000
Finance & Marketing ,1,3000
Painting And Drawing ,1,5000
Advertising & Graphic Design ,1,8000
Fashion Design ,8,12500
Product Demonstration ,1,10000
Animation & Multimedia ,1,3000
Co-Founder's Office - Strategy And Research ,1,1000
Business Strategy ,7,20750
Editorial ,2,4000
Content Development  For Banking Exams ,1,3000
Growth Hacking ,3,21000
Artificial Intelligence  ,16,98000
Blogging ,5,15000
Front End Development ,19,125000
Python/Django Development ,4,26500
Cyber Security ,3,4000
Industrial Design ,1,10000
Business Development Management ,1,1000
Support Ration Kits For Daily Wagers ,1,3000
Philanthropy ,1,3000
