{ Design }

Sound Design ,1,1000
Graphic Design ,780,2919500
3D Artist ,1,1500
Designing Mock-Ups ,1,1500
Graphic Design And Video Making/Editing ,1,1000
Interface Design ,1,200
Mechanical Design ,1,1000
Book Illustration And Design ,1,7000
Architectural Design ,1,3000
Business Portfolio Design ,1,5000
Instructional Designing: Financial Literacy ,1,10000
CAD Design ,1,2000
Creative Design ,4,11000
3D Design ,1,15000
Web Design ,3,22000
Telescoping Structures Design ,1,4000
Visual Design ,2,7000
Webapp & Flyer Design ,1,3000
Front-end Web Design ,1,1000
Instructional Designing ,1,15000
Web Designing ,1,3000
Web UI/UX Design ,1,12000
3D Modelling  ,1,2000
Design Intern ,1,4000
Unity Design ,1,5000
Website Design ,1,1500
Web Design  ,1,8000
UX/UI Design Development ,1,1000
Interior/furniture Designing And 3D Rendering ,1,4000
UI/UX And Graphic Design ,1,2000
Logo Design ,2,8000
Product  Design ,1,10000
UI/UX Design   , 56,317000
UI/UX Design   ,  1,4500
Graphic Design ,1,8000
Fashion Design ,8,12500
Industrial/Product Design - 3D ,1,15000
Industrial Design ,1,10000
Architecture and Design ,1,5000
Architecture & Interior Design ,1,2000
Web & App UI Design ,1,4000
UX/UI Design ,16,83500
Jewellery Design  ,1,1500
Jewelery Design ,1,10000
Jewellery Design ,1,5000
2D/3D Designing & Modeling ,1,5000
Painting And Drawing ,1,5000
Illustration/Caricature Art ,1,3500
Illustration ,3,14000
Storyboard Artist ,1,1000
CGI Art ,1,1000
Adobe Illustrator/After Effects ,2,20000
Poster Desgin ,1,1000
Cartooning ,1,5000
3D Modeling ,2,4000
Sketching ,1,1000


{ Law/Legal }

Law/ Legal ,38,119500
Law/Legal ,6,5500
Finance/Legal ,1,3000

{ Development }

Computer Vision/Machine Learning ,1,10000
Embedded Systems ,1,5000
React Native Developer ,1,7000
Android App Testing ,1,10000
AWS Cloud Management ,1,2000
PCB Designer ,1,1000
PCB Development And Circuit Designing ,1,5000
Hypercasual Game Design ,1,10000
WordPress Design ,1,2000
Electronics Embedded IoT Design ,1,5000
Game Design  ,1,1000
IoT Camera Development ,1,1500
AI & IoT Embedded Development ,1,3000
ESP32 IoT Firmware Development ,1,5000
Machine Learning & Internet of Things - IOT ,1,15000
IoT And Drone Engineering ,1,10000
Robotics Process Automation  ,1,1000
Internet Of Things  ,6,34000
Web Development ,747,3963600
Mobile App Development ,315,1770000
Software Development ,26,176500
Android App Development ,22,136500
PHP Development  ,3,11700
Software Testing ,17,86500
Backend Development ,17,67500
iOS App Development ,15,112500
Full Stack Development ,32,220500
Unity 3D Development ,2,11000
Software Development  ,1,2500
MERN Stack Development ,1,10000
JavaScript Development ,3,21000
Flutter Development ,9,76500
Angular.js Development ,3,12000
Django Development ,3,1000
Front End Development ,19,125000
Python/Django Development ,4,26500
React Native Development ,3,30000
Innovation Sprint AI And Web Development ,1,250
Python Development ,18,112500
ChatBot Development ,1,6000
Game Design And Development ,1,15000
Web Development  ,7,28000
Flutter/iOS Development ,1,25000
UI/UX Front End Development ,1,5000
Magento Development ,2,10000
ReactJs Development ,5,18000
Full Stack Development  ,3,19000
PHP Laravel Development ,1,1000
Spring Development ,1,2000
PHP Drupal Development ,1,6500
Full-Stack Cloud Development ,1,20000
Unity/Games Development ,1,5000
Front End Web Development ,1,1000
Application Development ,1,5000
Game Development ,7,18500
React Development ,2,20000
Full Stack iOS And Andriod App Development ,1,20000
Mean Stack Development ,2,6000
Mobile App Development- Ionic ,1,20000
Angular Development ,3,5000
Full Stack Web Development ,1,5000
Python/Machine Learning/Data Science Development ,1,30000
ReactJS & NodeJS Development  ,1,7000
Graph Development  ,1,5000
Angular8 Development ,1,10000
Mobile App Development  ,2,19000
React and Redux With API Development ,1,2000
React Redux Saga Development ,1,12000
Unity 2D Game Development ,1,1000
Shopify Development ,2,5000
Programming & Mobile App Development ,1,200
Node.js Development ,6,27000
Python & MongoDB Development ,1,10000
C# Development ,1,5000
Java Development ,6,48000
ASP.NET Development ,1,10000
Mern Stack Development  ,1,10000
Flutter Application Development ,2,8000
Ruby On Rails Development ,2,20000
Mern Stack/Node Development ,1,10000
React App Development ,1,4000
React Native Mobile App Development ,1,3000
Node.js & React-Native Development ,1,10000
GoLang Backend Development ,1,1500
ReactJS Development For Product Interface Development ,1,9000
Web Design & Development Backend & Front End ,1,1000
Blockchain And Smart Contract Code Writing ,1,5000
Node.js/MongoDB Development ,1,10000
Python/C# Development ,1,5000
Python Development and Linear Programming ,1,10000
Golang And Python Backend Development ,1,5000
Flutter App Development ,3,16000
Firmware Development ,1,3000
Zoho Development ,1,8000
Python Development  ,1,2000
Vue Stack Development ,1,2000
UX/UI Development ,1,5000
Mobile Game Development  ,1,8000
Web App Development  ,1,6000
Agile Business Analysis ,1,3000
SQL Development ,1,5500
Android Development ,2,11000
React.js Development  ,1,7000
Full Stack Development-PHP/CodeIgniter ,1,2000
Front end/UI UX Development ,1,8000
Front End Development  ,1,3000
Backend Development  ,4,17000
Information Technology/Internet Content Downloading ,1,12000
Unity 3D App Development ,1,1000
React Native/Mobile App Development ,1,4000
RoR Development ,1,1000
Odoo Development ,1,1000
Software Engineering  ,2,10000
GatsbyJS Development ,1,5000
Laravel/PHP Development ,1,8000
Web/Mobile Application Development ,1,1000
Android App Development  ,1,1000
React Application Development ,1,8000
Power BI Development  ,1,1000
Blockchain Development ,1,7000
Website Development And Testing ,1,2000
Unity AR Development ,1,10000
Full Stack Development - NodeJS ,1,2000
Angular 8 Development ,1,5000
Open Source Development ,1,1000
iOS Mobile App Development ,1,6000
Cyber Security ,3,4000
C+Development ,1,1000
